date,price,pe_ratio,pe_pctile,state,strategy_value,baseline_value
2000-01-03,3790.55,60.5314,1.0,pause,200.0,200.0
2000-01-04,3546.2,60.5314,1.0,pause,400.0,387.1074118531612
2000-01-05,3507.31,60.5314,1.0,pause,600.0,582.8621331754302
2000-01-06,3340.81,60.5314,1.0,pause,800.0,755.1923391812554
2000-01-07,3529.6,60.5314,1.0,pause,1000.0,997.8684451896872
2000-01-10,3717.41,60.5314,1.0,pause,1200.0,1250.9650206348012
2000-01-11,3544.35,60.5314,1.0,pause,1400.0,1392.7276977484212
2000-01-12,3478.14,60.5314,1.0,pause,1600.0,1566.7109384362982
2000-01-13,3612.08,60.5314,1.0,pause,1800.0,1827.0435481340558
2000-01-14,3704.74,60.5314,1.0,pause,2000.0,2073.9123481523557
2000-01-18,3757.78,60.5314,1.0,pause,2200.0,2303.6041243487966
2000-01-19,3790.89,60.5314,1.0,pause,2400.0,2523.9013031504264
2000-01-20,3841.74,60.5314,1.0,pause,2600.0,2757.7562504755133
2000-01-21,3849.96,60.5314,1.0,pause,2800.0,2963.656898717953
2000-01-24,3660.96,60.5314,1.0,pause,3000.0,3018.166775740651
2000-01-25,3759.11,60.5314,1.0,pause,3200.0,3299.083548674238
2000-01-26,3621.21,60.5314,1.0,pause,3400.0,3378.0592579878316
2000-01-27,3593.15,60.5314,1.0,pause,3600.0,3551.883382305632
2000-01-28,3446.13,60.5314,1.0,pause,3800.0,3606.551877952467
2000-01-31,3570.05,60.5314,1.0,pause,4000.0,3936.2405167199745
2000-02-01,3701.78,66.751,1.0,pause,4200.0,4281.482449821058
2000-02-02,3724.46,66.751,1.0,pause,4400.0,4507.714160501309
2000-02-03,3851.16,66.751,1.0,pause,4600.0,4861.059178070438
2000-02-04,3874.37,66.751,1.0,pause,4800.0,5090.355593572005
2000-02-07,3933.34,66.751,1.0,pause,5000.0,5367.833549821135
2000-02-08,4062.77,66.751,1.0,pause,5200.0,5744.466817312212
2000-02-09,3968.46,66.751,1.0,pause,5400.0,5811.119208281743
2000-02-10,4090.0,66.751,1.0,pause,5600.0,6189.093391862922
2000-02-11,3968.89,66.751,1.0,pause,5800.0,6205.8266190784425
2000-02-14,3986.13,66.751,1.0,pause,6000.0,6432.7833880775615
2000-02-15,3997.03,66.751,1.0,pause,6200.0,6650.3737172765705
2000-02-16,3997.97,66.751,1.0,pause,6400.0,6851.937716369456
2000-02-17,4125.38,66.751,1.0,pause,6600.0,7270.299881278806
2000-02-18,3965.75,66.751,1.0,pause,6800.0,7188.978410275278
2000-02-22,3969.13,66.751,1.0,pause,7000.0,7395.105560757969
2000-02-23,4170.09,66.751,1.0,pause,7200.0,7969.525248067259
